2023-04-21 11:55:52,277 INFO    MainThread:13461 [wandb_setup.py:_flush():76] Configure stats pid to 13461
2023-04-21 11:55:52,278 INFO    MainThread:13461 [wandb_setup.py:_flush():76] Loading settings from /home1/07169/wgl/.config/wandb/settings
2023-04-21 11:55:52,278 INFO    MainThread:13461 [wandb_setup.py:_flush():76] Loading settings from /scratch1/07169/wgl/adjoint/python/wandb/settings
2023-04-21 11:55:52,278 INFO    MainThread:13461 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-21 11:55:52,278 INFO    MainThread:13461 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-21 11:55:52,278 INFO    MainThread:13461 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'python/Main_FD_with_net.py', 'program': '/scratch1/07169/wgl/adjoint/python/Main_FD_with_net.py'}
2023-04-21 11:55:52,279 INFO    MainThread:13461 [wandb_init.py:_log_setup():507] Logging user logs to /scratch1/07169/wgl/adjoint/python/wandb/run-20230421_115552-1s2j75bj/logs/debug.log
2023-04-21 11:55:52,279 INFO    MainThread:13461 [wandb_init.py:_log_setup():508] Logging internal logs to /scratch1/07169/wgl/adjoint/python/wandb/run-20230421_115552-1s2j75bj/logs/debug-internal.log
2023-04-21 11:55:52,279 INFO    MainThread:13461 [wandb_init.py:init():547] calling init triggers
2023-04-21 11:55:52,279 INFO    MainThread:13461 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-04-21 11:55:52,279 INFO    MainThread:13461 [wandb_init.py:init():595] starting backend
2023-04-21 11:55:52,279 INFO    MainThread:13461 [wandb_init.py:init():599] setting up manager
2023-04-21 11:55:52,286 INFO    MainThread:13461 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-21 11:55:52,296 INFO    MainThread:13461 [wandb_init.py:init():605] backend started and connected
2023-04-21 11:55:52,304 INFO    MainThread:13461 [wandb_init.py:init():695] updated telemetry
2023-04-21 11:55:52,352 INFO    MainThread:13461 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-21 11:55:52,655 INFO    MainThread:13461 [wandb_run.py:_on_init():2176] communicating current version
2023-04-21 11:55:52,735 INFO    MainThread:13461 [wandb_run.py:_on_init():2185] got version response 
2023-04-21 11:55:52,735 INFO    MainThread:13461 [wandb_init.py:init():782] starting run threads in backend
2023-04-21 11:55:52,825 INFO    MainThread:13461 [wandb_run.py:_console_start():2157] atexit reg
2023-04-21 11:55:52,826 INFO    MainThread:13461 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-21 11:55:52,826 INFO    MainThread:13461 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-21 11:55:52,826 INFO    MainThread:13461 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-21 11:55:52,827 INFO    MainThread:13461 [wandb_init.py:init():824] run started, returning control to user process
2023-04-21 11:55:52,827 INFO    MainThread:13461 [wandb_config.py:__setitem__():152] config set problem = ResNet - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2aba11239430>>
2023-04-21 11:55:52,827 INFO    MainThread:13461 [wandb_run.py:_config_callback():1285] config_cb problem ResNet None
2023-04-21 11:55:52,828 INFO    MainThread:13461 [wandb_config.py:__setitem__():152] config set method = Recurrent - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2aba11239430>>
2023-04-21 11:55:52,828 INFO    MainThread:13461 [wandb_run.py:_config_callback():1285] config_cb method Recurrent None
2023-04-21 11:55:52,828 INFO    MainThread:13461 [wandb_config.py:__setitem__():152] config set batchsize = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2aba11239430>>
2023-04-21 11:55:52,828 INFO    MainThread:13461 [wandb_run.py:_config_callback():1285] config_cb batchsize 10 None
